,角色,房产X,协议（智能合约）,PayoutPool 资金池 合约,KYC白名单资金池,房东 A,"SPV 
专门设立的法律实体
LLC/Ltd/信托/基金会等","托管/支付机构 B
银行/信托公司/持牌支付机构",律师 C,投资人 D,租客 E
,行为,"真实世界资产，比如价值10万usd
每月租金1000usd",发行、白名单、分配、赎回、风控与清算逻辑,"只收 USDC 入账、向赎回者单点支付
维护两个全局累计指数（USDC/枚）：
Index：累计USDC/每枚
每期只写全局状态一次（极省 gas）",按照uniswap模式，不过参与者需要是KYC验证的,持有房产X，质押未来5年的房租收益权,持有房租收益权并在链上发行“房租币”,接收租金、做法币↔稳定币结算,"审计/评估/法律
做权属核验、估值与合规文件",持有链上资产 USDC，购买“房租币”，获取按月派发的现金流。,租金直接打入托管账户。
,权属核验：产权证、抵押情况、是否可合法转让“租金收益权”,,,,,✅,,,✅,,
,租约核验：现有租约条款、租客信用、到期日、涨租机制。,,,,,,,,✅,,✅
,KYC/AML：对 A 与投资人做 KYC、制裁与 PEP 筛查。,,,,,,✅,,,✅,
,保险/税务：确认房产保险与地产税安排。,,,,,✅,,,✅,,
,《收益权转让/质押协议》（A → SPV，必要时做公证/备案/通知租客）；,,,,,✅,✅,,,,
,"开设托管账户
账户必须以 SPV 名义开立（或“SPV FBO Tokenholders”），资金与任何运营方自有资金隔离，降低混同与破产传染风险。",,,,,,✅,✅,,,
,《服务/代收协议》（租户把租金打给银行的托管账户→ SPV换成usdc把租金打到托管账户）,,,,,,✅,✅,,,✅
,《代币要约文件/信息披露》（说明权利、风险、费用、违约与清算机制）。,,,,,✅,✅,,✅,✅,
,估值与条款,,,,,,,,,,
,"市值：$100,000（评估报告支持，这个市值在抵押里没有用到，假设我们不抵押房子。）

月毛租金 $1,200。
运营开支假设（OPEX）：占租金 20% = $200/月（含物业管理、日常维护、保险/税等）

5年房租收益是抵押品，60000$，使用未来现金流折现，大概当前的价值是36K 

月净租金: $1000（年化 $12,000）
协议/平台费：$50/月
净可分配现金（NAC）：$1,000  - $50 = $950/月
融资规模（代币发行面额）： 融 0.8*36K U→ 最多铸造28800枚“房租币”（每枚面值 $1）。

净可分配现金（NAC）：$1,000  - $50 = $950/月
预备金（Reserve）：目标 $2,000（≈ 两个月的 NAC），每月先提 $50 直到达标。
",,,,,,✅,✅,✅,,
,"公告与白名单（T−14 ～ T−7）
发布要约说明、风险披露、条款（LTV、票息、偿本、预备金、违约触发等）。
投资人完成 KYC/AML，钱包地址加入 白名单。",,,,,,✅,,,✅,
,"认购与资金托管（T−7 ～ T−1）
投资人用 USDC 向“认购合约/托管账户”支付；支持超额认购。
可设置 最低/最高 认购额与 单一投资人占比上限。",,✅,,,,,,,✅,
,"配售与结算（T 日）
若 足额/超额：按“先到先得 + 按比例缩减”或 簿记建档 规则配售
若 不足额：可延长期或取消并原路退款。
铸造房租币 给中签地址（总量 = 实际募资额）
起息日 T0 在 T 日或 T+1 对齐托管资金到位。",,,,,,,,,,
,"假设 10000 枚认购；不再增发/重基，白名单+可转让（合规域内）
",,✅,,,,,,,"✅
付出10000U，
认购10000Token",
,给房东转账10000 u,,"✅
mint 了10000枚Token，
还剩18800枚可以mint",,,✅ $10000,,✅,,,
,"项目组使用自己的1000U去mint token，然后组建资金池
mint的费用支付给房东",,"✅
mint 了1000枚Token
还剩17800枚可以mint",,"✅ usdc余额：1000
Index = 1000
K = 1e6",✅ $11000,"项目组需要融资1000U
-1000U  
LP = 1000",,,,
,"第一个租金结算日结束，
用户将租金1200 $打入到银行托管账户
银行将200 付给物业
50付给SPV
剩余950 可以分配。
当前房东和池子的分配比例是：
17800 / 11000 = 1.61
所以房东获得$587
池子获得$363

其中50 u是reserve,剩余本息是212",,,"✅ usdc余额：363
Index  += repay / S_snap 代币数量;
repay = 313
reserve = 50
Index =313 / 11000 =0.02845 USDC/枚
",,✅ $11000 + 587= 11587,"✅

LP token=1000
-950U (使用50U去还款）",✅,,"✅
-10000U，
10000Token",✅
,"第二个月结尾
当前房东和池子的分配比例是：
17800 / 11000 = 1.61
所以房东获得$587
池子获得$363",,,"✅ usdc余额：363*2 =  726
repay = 313*2 = 626
reserve = 50*2 = 100
Index = 626 /11000 ≈0,05690909091 USDC/枚",,✅  $11000 + 587*2= 12174,"✅
LP Token = 1000
- 900U",✅,,"
-10000U, 10000Token",✅
,"投资人再次用10000U购买10000Token，从此以后的分配比例：
7800/21000 = 0.3714%
",,"✅
mint 了10000枚Token
还剩7800枚可以mint",,,✅   12376 + 10000 = 22376,,,,"
-20000U, 20000Token",
,投资人加入1000U 和1000 T进入流动性池子,,,,"✅ 2000 T，2000U
K = 4e6
",,"✅
LP Token = 1000
- 850 U",,,"✅ -20000U, 20000Token,
LP=1000",
,"第三个月结尾
950分配，0.6286 => 池子，0.3714 进入房东
597,17 vs 352,83",,,"✅ usdc余额：726+597=1.323
repay = 1173
reserve = 50*3 = 150
Index = 1173/21000 = 0,05585714286 USDC",,✅  22376 + 352 = 22728,"✅
LP Token = 1e4
-800U",✅,,"✅ -20000U, 20000Token,
LP=1000",✅
,,,,,,,,,,,
,第60个月结尾,,,"""✅ usdc余额：726+ 597*58 = 35352U 
repay = 35352 - 1200 = 34152
reserve = 1200 到了Max以后不再增加
Index = 35352/21000 = 1.6834 USDC",, ✅  22728 + 352.83*58 = 43192U,"✅
LP Token = 1e4
2000U",✅,,"✅ -20000U, 20000Token,
LP=1000",✅
,"关闭步骤：撤回流动性池
从现在开始，只允许",,,,✅ 消失,,"LP Token = 0
获得
1000T 1000U + 2000U",,,"✅ -19000U, 21000Token,
LP = 0",
,PayOff池子里撤回,,,,, ✅  22728 + 352.83*58 = 43192U,"LP Token = 0
获得
1000*1.6834+ 3000U = 4683U",,,✅ 21000*1.6834-19000=16354U,
